Dataset,Solver,Initial Reach,Time Taken,Final Reach
Breast Cancer,SCIP_C,166,0.08624,357.0
Wine Quality Red,SCIP_C,9,0.978611,18.0
Wine Quality White,SCIP_C,10,120.011743,13.0
South German Credit,SCIP_C,29,119.95211,47.0
Crop Mapping,SCIP_C,363,20.363152,2674.0
Cluster 8,SCIP_C,2,11.002253,44.0
Two Cluster 8,SCIP_C,2,119.862076,26.0
Cluster,SCIP_C,2,114.462256,46.0
Two Cluster,SCIP_C,2,119.973627,24.0
Diffused Benchmark,SCIP_C,5,119.794532,19.0
s1,SCIP_C,174,121.370556,178.0
s2,SCIP_C,43,119.885725,43.0
s3,SCIP_C,28,119.950541,31.0
