dataset,avg_gurobi_reach,avg_gurobi_nodes,avg_gurobi_time,avg_cplex_reach,avg_cplex_nodes,avg_cplex_time
Breast Cancer,357.0,1.0,0.03223940134048457,357.0,0.0,0.07924214601516721
Wine Quality Red,18.0,1.0,0.0597077131271362,18.0,224.0,2.5403796434402466
Wine Quality White,19.35,1006.3,120.01427204608918,62.0,5516.6,120.0561606645584
South German Credit,40.0,95924.4,120.00510615110397,164.05,37281.8,120.01408042907715
Crop Mapping,2674.0,1.0,14.54379643201828,2674.0,0.0,45.38466105461121
Cluster,45.0,5981.5,3.6778366565704346,45.0,3752.5,2.6222305059432984
Two Cluster,25.5,10366.0,6.191565001010895,25.5,5256.0,3.48494838476181
Diffused Benchmark,17.5,165344.4,120.00448668003082,19.0,47962.4,120.01125806570053
Prism,10.5,1.0,0.11531143188476563,10.5,0.0,0.0907559037208557
L1 Prism,1.5,312.0,0.44535266160964965,1.5,392.5,0.3461940884590149
