Dataset,Solver,Initial Reach,Time Taken,Final Reach
Breast Cancer,SCIP_C,166,1.157551,357.0
Wine Quality Red,SCIP_C,9,2.813412,18.0
Wine Quality White,SCIP_C,10,119.995162,13.0
South German Credit,SCIP_C,29,119.995116,29.0
Crop Mapping,SCIP_C,363,18.10916,2674.0
Cluster 8,SCIP_C,2,0.872644,44.0
Two Cluster 8,SCIP_C,1,6.923651,24.0
Cluster,SCIP_C,2,2.684351,45.0
Two Cluster,SCIP_C,3,44.234339,26.0
Diffused Benchmark,SCIP_C,8,119.996767,20.0
s1,SCIP_C,174,119.966657,176.0
s2,SCIP_C,43,120.007634,43.0
s3,SCIP_C,28,120.217666,30.0
360 prism,SCIP_C,173,119.997173,175.0
Truncated Normal Prism,SCIP_C,40,120.551929,57.0
Prism,SCIP_C,13,120.913003,13.0
