dataset,gurobi_reach,gurobi_nodes,gurobi_time,cplex_reach,cplex_nodes,cplex_time
Breast Cancer,357.0,1.0,0.0374627113342285,357.0,0,0.0670688152313232
Breast Cancer,357.0,1.0,0.0369801521301269,357.0,0,0.0898501873016357
Breast Cancer,357.0,1.0,0.0347704887390136,357.0,0,0.0643575191497802
Breast Cancer,357.0,1.0,0.0478396415710449,357.0,0,0.0990605354309082
Breast Cancer,357.0,1.0,0.0314342975616455,357.0,0,0.0956711769104003
Breast Cancer,357.0,1.0,0.0306088924407959,357.0,0,0.0719029903411865
Breast Cancer,357.0,1.0,0.0312790870666503,357.0,0,0.0759627819061279
Breast Cancer,357.0,1.0,0.0304436683654785,357.0,0,0.0940651893615722
Breast Cancer,357.0,1.0,0.0311264991760253,357.0,0,0.063833475112915
Breast Cancer,357.0,1.0,0.0319035053253173,357.0,0,0.0992519855499267
Wine Quality Red,18.0,1.0,0.0689387321472168,18.0,224,3.0346622467041016
Wine Quality Red,18.0,1.0,0.0637800693511962,18.0,224,2.925342321395874
Wine Quality Red,18.0,1.0,0.0580744743347168,18.0,224,3.1434268951416016
Wine Quality Red,18.0,1.0,0.0976672172546386,18.0,224,3.769376993179321
Wine Quality Red,18.0,1.0,0.0577945709228515,18.0,224,2.980051755905152
Wine Quality Red,18.0,1.0,0.0609445571899414,18.0,224,3.374187469482422
Wine Quality Red,18.0,1.0,0.0694758892059326,18.0,224,2.7622294425964355
Wine Quality Red,18.0,1.0,0.059842824935913,18.0,224,2.5716049671173096
Wine Quality Red,18.0,1.0,0.0764224529266357,18.0,224,3.314047813415528
Wine Quality Red,18.0,1.0,0.0656628608703613,18.0,224,2.7976937294006348
Wine Quality White,19.0,970.0,120.01091361045836,62.0,4651,120.06752061843872
Wine Quality White,19.0,970.0,120.00948572158812,62.0,4541,120.04763579368591
Wine Quality White,19.0,970.0,120.00702381134032,62.0,4939,120.22755813598631
Wine Quality White,19.0,972.0,120.0071258544922,62.0,5479,120.03263902664185
Wine Quality White,19.0,970.0,120.01725840568542,62.0,4667,120.088618516922
Wine Quality White,18.0,969.0,120.04589581489564,62.0,4667,120.06377720832825
Wine Quality White,18.0,969.0,120.00950145721436,62.0,5305,120.04686379432678
Wine Quality White,18.0,966.0,120.03391408920288,62.0,4541,120.0494945049286
Wine Quality White,19.0,970.0,120.02860069274902,62.0,4839,120.06889176368712
Wine Quality White,19.0,971.0,120.00542712211607,62.0,4873,120.071031332016
South German Credit,40.0,73228.0,120.00556302070618,164.0,28014,120.01959466934204
South German Credit,40.0,73886.0,120.00469923019408,164.0,28902,120.01479625701904
South German Credit,40.0,73397.0,120.00583243370056,164.0,28834,120.0232436656952
South German Credit,40.0,75234.0,120.00686693191528,165.0,29303,120.02314162254332
South German Credit,40.0,89548.0,120.00306129455566,164.0,38578,120.01151132583618
South German Credit,40.0,94736.0,120.0032570362091,164.0,38884,120.01383805274963
South German Credit,40.0,86929.0,120.0096640586853,164.0,31836,120.01562833786012
South German Credit,40.0,95043.0,120.00443744659424,164.0,37739,120.01244044303894
South German Credit,40.0,99848.0,120.00394225120544,164.0,38680,120.0122640132904
South German Credit,40.0,97503.0,120.0036826133728,164.0,37992,120.01265907287598
Crop Mapping,2674.0,1.0,16.505558013916016,2674.0,0,47.063334465026855
Crop Mapping,2674.0,1.0,14.943368196487429,2674.0,0,50.015151500701904
Crop Mapping,2674.0,1.0,14.661596536636353,2674.0,0,48.5222692489624
Crop Mapping,2674.0,1.0,15.634248495101929,2674.0,0,50.29168367385864
Crop Mapping,2674.0,1.0,14.897288799285889,2674.0,0,47.77991008758545
Crop Mapping,2674.0,1.0,14.77924871444702,2674.0,0,51.88052845001221
Crop Mapping,2674.0,1.0,14.883123397827148,2674.0,0,47.22118520736694
